Link,Total Call Duration,Total Effective Talk Duration,Total Effective Talk Percent,Talk Duration (Mono Right),Talk Duration (Mono Left),Talk Percent (Mono Right),Talk Percent (Mono Left),Overlaps Count (Total),Overlaps Count (Mono Right),Overlaps Count (Mono Left),Overlaps Duration (Total),Overlaps Duration (Mono Right),Overlaps Duration (Mono Left),Overlaps Percent (Total),Overlaps Percent (Mono Right),Overlaps Percent (Mono Left),Overall Emotion (Total),Overall Emotion (Mono Right),Overall Emotion (Mono Left)
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/a1f2a2e0c941798d8506f9a2828e17bl.mp3,0.66 Minutes,0.54 Minutes,81.21%,0.06 Minutes,0.48 Minutes,11.39 %,88.61 %,0 Times,0 Times,0 Times,0.0 Minutes,0.0 Minutes,0.0 Minutes,0.00 %,0.00 %,0.00 %,surprise,surprise,surprise
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/5d79e2f5f25f3281e58b1031108d17b9.mp3,2.34 Minutes,2.15 Minutes,91.72%,1.19 Minutes,1.24 Minutes,48.85 %,51.15 %,11 Times,5 Times,6 Times,0.28 Minutes,0.15 Minutes,0.13 Minutes,13.16 %,6.97 %,6.19 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/e182aa86e23905b1f60fe458f11517b4.mp3,1.91 Minutes,1.66 Minutes,86.89%,0.24 Minutes,1.45 Minutes,14.4 %,85.6 %,3 Times,3 Times,0 Times,0.04 Minutes,0.04 Minutes,0.0 Minutes,2.14 %,2.14 %,0.00 %,angry,angry,neutral
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/134c8648d49b26885f39f38728a117b6.mp3,1.16 Minutes,0.88 Minutes,75.57%,0.18 Minutes,0.78 Minutes,18.4 %,81.6 %,4 Times,4 Times,0 Times,0.08 Minutes,0.08 Minutes,0.0 Minutes,8.74 %,8.74 %,0.00 %,angry,angry,happy
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/e9683c27b660eba4784c6036a4da17b6.mp3,0.94 Minutes,0.74 Minutes,79.08%,0.14 Minutes,0.66 Minutes,17.7 %,82.3 %,3 Times,2 Times,1 Times,0.05 Minutes,0.05 Minutes,0.0 Minutes,7.39 %,7.24 %,0.15 %,angry,fear,happy
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/435b9e29b2a6c2307e22a024d24917b7.mp3,0.99 Minutes,0.9 Minutes,90.50%,0.23 Minutes,0.74 Minutes,23.45 %,76.55 %,4 Times,2 Times,2 Times,0.07 Minutes,0.02 Minutes,0.04 Minutes,7.33 %,2.40 %,4.93 %,surprise,sad,surprise
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/5be426a457f4038b371b9b7dbf3c17b1.mp3,2.4 Minutes,1.54 Minutes,64.14%,0.44 Minutes,1.21 Minutes,26.61 %,73.39 %,6 Times,2 Times,4 Times,0.1 Minutes,0.04 Minutes,0.06 Minutes,6.55 %,2.75 %,3.80 %,surprise,angry,angry
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/4d5c16f77fae6f3a905240c4570b17bd.mp3,0.79 Minutes,0.64 Minutes,81.10%,0.3 Minutes,0.48 Minutes,38.51 %,61.49 %,3 Times,1 Times,2 Times,0.14 Minutes,0.02 Minutes,0.12 Minutes,22.46 %,3.79 %,18.67 %,angry,surprise,fear
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/3b594c82fd99330ef589593ce52217bi.mp3,0.37 Minutes,0.27 Minutes,72.81%,0.15 Minutes,0.12 Minutes,55.64 %,44.36 %,0 Times,0 Times,0 Times,0.0 Minutes,0.0 Minutes,0.0 Minutes,0.00 %,0.00 %,0.00 %,surprise,fear,surprise
https://s3-ap-southeast-1.amazonaws.com/exotelrecordings/futwork1/89ddfaef97f84de81e45bfc070f517b9.mp3,0.64 Minutes,0.54 Minutes,85.11%,0.28 Minutes,0.39 Minutes,41.89 %,58.11 %,5 Times,3 Times,2 Times,0.13 Minutes,0.07 Minutes,0.06 Minutes,23.57 %,12.28 %,11.29 %,surprise,angry,fear
